Description,Price,Rating,Product URL
ASUS WT200 Wireless Mouse (Blue),₹599,4.0 out of 5 stars,https://www.amazon.in/ASUS-WT200-Wireless-Mouse-Blue/dp/B0895XWJWK/ref=sr_1_36?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-36
"(Renewed) Mi Portable Wireless Mouse with Ergonomic Design, Long Battery Backup, 1200 DPI High Resolution and Ultra Lightweight (White)",₹490,3.6 out of 5 stars,https://www.amazon.in/Portable-Wireless-Ergonomic-Resolution-Lightweight/dp/B08BRHS9LD/ref=sr_1_37?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-37
"Logitech M185 Wireless Mouse USB for PC Windows, Mac and Linux, Grey with Ambidextrous Design-Black",₹849,4.3 out of 5 stars,https://www.amazon.in/Logitech-910-002225-M185-Wireless-Mouse/dp/B00552K0GM/ref=sr_1_38?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-38
(Renewed) Zebronics Zeb-Shine Wireless Mouse(White),₹244,2.7 out of 5 stars,https://www.amazon.in/Renewed-Zebronics-Zeb-Shine-Wireless-Mouse/dp/B08W512Z2T/ref=sr_1_39?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-39
"Lenovo 530 Wireless Mouse (Abyss Blue): Ambidextrous, Ergonomic Mouse, Up to 8 Million clicks for Left and Right Buttons, Optical Sensor 1200 DPI, 2.4 GHz Wireless Technology via Nano USB Receiver",₹749,4.5 out of 5 stars,https://www.amazon.in/Lenovo-Wireless-Mouse-Abyss-Blue/dp/B08CVDX1SH/ref=sr_1_40?dchild=1&keywords=wireless+mouse&qid=1627296227&smid=A14CZOWI0VEHLG&sr=8-40
HP 280 Wireless Silent Mouse (19U64AA),"₹1,099",4.6 out of 5 stars,https://www.amazon.in/HP-Wireless-Silent-Mouse-19U64AA/dp/B08NR16ZYQ/ref=sr_1_41?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-41
"Croma Wireless Mouse, 2.4 GHz with USB Nano Receiver, 1000 DPI Optical Tracking, 15-Months Warranty, Ambidextrous, PC/Mac/Laptop (XM5106, Black)",₹399,3.9 out of 5 stars,https://www.amazon.in/Croma-Wireless-Mouse-XM5106-Black/dp/B084SY6QND/ref=sr_1_42?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-42
"Logitech M221 Wireless Mouse, Silent Buttons, 2.4 GHz with USB Mini Receiver, 1000 DPI Optical Tracking, 18-Month Battery Life, Ambidextrous PC/Mac/Laptop - Blue",₹845,4.5 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06323941UOMFM9MYP406&url=%2FLogitech-M221-Silent-Wireless-Mouse%2Fdp%2FB01M72LS5E%2Fref%3Dsr_1_43_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296227%26sr%3D8-43-spons%26psc%3D1&qualifier=1627296227&id=5894654914322119&widgetName=sp_mtf
"Coconut WM18 Elite Wireless Mouse 2.4Ghz Connectivity Upto 1200 DPI with Ergonomic Design, Nano USB Receiver with 3 Keys for Windows Laptop, Computer, Notebook 6-10M Wireless Range - Black",₹499,4.2 out of 5 stars,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A04455871MARJ7SDLFQLT&url=%2FCoconut-Wireless-Connectivity-Ergonomic-Receiver%2Fdp%2FB096P76456%2Fref%3Dsr_1_44_sspa%3Fdchild%3D1%26keywords%3Dwireless%2Bmouse%26qid%3D1627296227%26sr%3D8-44-spons%26psc%3D1&qualifier=1627296227&id=5894654914322119&widgetName=sp_mtf
(Renewed) HP S1000 Plus Silent USB Wireless Computer Mute Mouse 1600DPI USB (7YA12PA),₹449,3.4 out of 5 stars,https://www.amazon.in/Renewed-HP-Wireless-Computer-1600DPI/dp/B085W1397V/ref=sr_1_45?dchild=1&keywords=wireless+mouse&qid=1627296227&sr=8-45
